"StockCode","sciname","Loo","TLinfinity","K","SE_K","SD_K","LCL_K","UCL_K","Temperature","DeltaT"
1670,"Sardinops sagax",30.5,30.5,0.396,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",36,36,0.358,NA,NA,NA,NA,13,NA
1670,"Sardinops sagax",20.5,20.5,0.22,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",27,27,0.65,NA,NA,NA,NA,18,NA
1670,"Sardinops sagax",27,27,0.9,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",29,29,0.5,NA,NA,NA,NA,18,NA
1670,"Sardinops sagax",30.6,30.6,0.225,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",29.3,29.3,0.45,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",26,26,0.5,NA,NA,NA,NA,18.5,NA
1670,"Sardinops sagax",30,30,0.35,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",25.7,25.7,0.55,NA,NA,NA,NA,16.7,NA
1670,"Sardinops sagax",26,26,0.54,NA,NA,NA,NA,16.7,NA
1670,"Sardinops sagax",26.1,26.1,0.52,NA,NA,NA,NA,16.7,NA
1670,"Sardinops sagax",26.8,26.8,0.59,NA,NA,NA,NA,16.7,NA
1670,"Sardinops sagax",26.9,26.9,0.56,NA,NA,NA,NA,16.7,NA
1670,"Sardinops sagax",27.6,27.6,0.53,NA,NA,NA,NA,16.7,NA
1670,"Sardinops sagax",30.2,30.2,0.53,NA,NA,NA,NA,13.1,NA
1670,"Sardinops sagax",20.5,25.174,0.367,NA,NA,NA,NA,12,NA
1670,"Sardinops sagax",20.6,25.2968,0.461,NA,NA,NA,NA,12,NA
1670,"Sardinops sagax",21.2,26.0336,0.319,NA,NA,NA,NA,12,NA
1670,"Sardinops sagax",21.2,26.0336,0.647,NA,NA,NA,NA,12,NA
1670,"Sardinops sagax",22.5,27.63,0.522,NA,NA,NA,NA,12,NA
1670,"Sardinops sagax",22.5,27.63,0.528,NA,NA,NA,NA,12,NA
1670,"Sardinops sagax",30.4,30.4,0.231,NA,NA,NA,NA,21,NA
1670,"Sardinops sagax",22.5,26.78572,0.6,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",28.5,28.5,0.28,NA,NA,NA,NA,21,NA
1670,"Sardinops sagax",28.5,28.5,0.28,NA,NA,NA,NA,21,NA
1670,"Sardinops sagax",16.3,16.3,0.61,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",22.4,22.4,0.59,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",30.6,30.6,0.225,NA,NA,NA,NA,22,NA
1670,"Sardinops sagax",31.2,31.2,0.44,NA,NA,NA,NA,26.5,NA
1670,"Sardinops sagax",33.8,33.8,0.33,NA,NA,NA,NA,22,NA
1670,"Sardinops sagax",38.5,38.5,0.25,NA,NA,NA,NA,22,NA
1670,"Sardinops sagax",38.6,38.6,0.21,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",41,41,0.252,NA,NA,NA,NA,18.5,NA
1670,"Sardinops sagax",41.6,41.6,0.24,NA,NA,NA,NA,22,NA
1670,"Sardinops sagax",41.7,41.7,0.21,NA,NA,NA,NA,15,NA
1670,"Sardinops sagax",17.2,19.32584,0.663,NA,NA,NA,NA,17.6,NA
1670,"Sardinops sagax",17.4,19.55056,0.584,NA,NA,NA,NA,12.5,NA
1670,"Sardinops sagax",16.4,18.42697,0.728,NA,NA,NA,NA,17.6,NA
1670,"Sardinops sagax",16.4,18.42697,0.805,NA,NA,NA,NA,12.5,NA
1670,"Sardinops sagax",23.4,NA,0.987,NA,NA,NA,NA,22,NA
1670,"Sardinops sagax",21.9,NA,1.168,NA,NA,NA,NA,22,NA
1670,"Sardinops sagax",29.9,29.9,0.362,NA,NA,NA,NA,22,NA
1670,"Sardinops sagax",17.4,20.64057,1.15,NA,NA,NA,NA,18,NA
1670,"Sardinops sagax",17.1,20.2847,1.18,NA,NA,NA,NA,18,NA
1670,"Sardinops sagax",23,23,0.39,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",23.6,23.6,0.34,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",23.6,23.6,0.38,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",24.4,24.4,0.39,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",24.4,24.4,0.55,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",25.2,25.2,0.34,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",25.2,25.2,0.39,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",25.3,25.3,0.36,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",25.7,25.7,0.38,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",25.9,25.9,0.33,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",26.3,26.3,0.31,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",27,27,0.34,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",27,27,0.6,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",27.4,27.4,0.38,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",29,29,0.43,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",30,30,0.43,NA,NA,NA,NA,20.5,NA
1670,"Sardinops sagax",26,NA,0.39,NA,NA,NA,NA,NA,NA
1670,"Sardinops sagax",21.9,NA,0.36,NA,NA,NA,NA,NA,NA
1670,"Sardinops sagax",25.02,NA,0.34,NA,NA,NA,NA,NA,NA
1650,"Spratelloides delicatulus",4.9,5.50562,7.1,NA,NA,NA,NA,30.4,NA
1650,"Spratelloides delicatulus",5.9,6.62921,11.4,NA,NA,NA,NA,24.8,9
1650,"Spratelloides delicatulus",6.5,7.30337,7.4,NA,NA,NA,NA,28.5,NA
1650,"Spratelloides delicatulus",6.6,6.6,4.6,NA,NA,NA,NA,30.1,NA
1650,"Spratelloides delicatulus",6.7,7.52809,8.5,NA,NA,NA,NA,26,9
1650,"Spratelloides delicatulus",7.1,7.1,4.5,NA,NA,NA,NA,30.7,NA
1650,"Spratelloides delicatulus",7.2,8.08989,5.1,NA,NA,NA,NA,29.9,NA
1650,"Spratelloides delicatulus",7.5,7.5,4.38,NA,NA,NA,NA,27.3,NA
1650,"Spratelloides delicatulus",7.5,8.42697,12.2,NA,NA,NA,NA,27.1,9
1650,"Spratelloides delicatulus",7.6,8.53933,4.5,NA,NA,NA,NA,30.7,NA
1650,"Spratelloides delicatulus",8,8.98876,2.7,NA,NA,NA,NA,30,NA
1650,"Spratelloides delicatulus",8.6,9.66292,3.3,NA,NA,NA,NA,30.1,NA
1650,"Spratelloides delicatulus",9.3,10.44944,3.4,NA,NA,NA,NA,30.3,NA
1650,"Spratelloides delicatulus",10.5,11.79775,3.1,NA,NA,NA,NA,29.2,NA
1650,"Spratelloides delicatulus",7.3,8.20225,4.58,NA,NA,NA,NA,27.3,NA
1651,"Spratelloides gracilis",4.2,4.82759,6.2,NA,NA,NA,NA,29.5,NA
1651,"Spratelloides gracilis",4.3,4.94253,7.2,NA,NA,NA,NA,29.4,NA
1651,"Spratelloides gracilis",5.2,5.97701,7.2,NA,NA,NA,NA,25.9,NA
1651,"Spratelloides gracilis",5.8,6.66667,6.8,NA,NA,NA,NA,30.6,NA
1651,"Spratelloides gracilis",7.5,8.62069,5.3,NA,NA,NA,NA,30,NA
1651,"Spratelloides gracilis",7.6,8.73563,7.1,NA,NA,NA,NA,28.4,NA
1651,"Spratelloides gracilis",7.8,8.96552,5.4,NA,NA,NA,NA,31,NA
1651,"Spratelloides gracilis",7.9,9.08046,7.1,NA,NA,NA,NA,27.5,NA
1651,"Spratelloides gracilis",8.5,9.77011,4.1,NA,NA,NA,NA,30.5,NA
1651,"Spratelloides gracilis",8.3,8.98,4.38,NA,NA,NA,NA,29.9,NA
1652,"Spratelloides lewisi",6,6.74157,8.9,NA,NA,NA,NA,30.7,NA
1652,"Spratelloides lewisi",6.8,7.64045,5.7,NA,NA,NA,NA,30.2,NA
1652,"Spratelloides lewisi",7,7.86517,4.3,NA,NA,NA,NA,29.3,NA
1652,"Spratelloides lewisi",5.5,5.72917,5.4,NA,NA,NA,NA,29.9,NA
1652,"Spratelloides lewisi",7,7.29,5.44,NA,NA,NA,NA,29.8,NA
1659,"Sprattus fuegensis",14.5,14.5,0.783,NA,NA,NA,NA,10,NA
1659,"Sprattus fuegensis",20.7,20.7,0.73,NA,NA,NA,NA,10,NA
1659,"Sprattus fuegensis",17.7,NA,0.78,0.07,NA,NA,NA,11,NA
1659,"Sprattus fuegensis",13.4,NA,0.062,NA,NA,NA,NA,NA,NA
1659,"Sprattus fuegensis",14,NA,1.02,NA,NA,NA,NA,NA,NA
1375,"Sprattus sprattus",11.9,11.9,0.31,NA,NA,NA,NA,14.3,NA
1375,"Sprattus sprattus",14.2,14.2,0.368,NA,NA,NA,NA,19,NA
1375,"Sprattus sprattus",14.4,14.4,0.452,NA,NA,NA,NA,14,NA
1375,"Sprattus sprattus",16,16,0.65,NA,NA,NA,NA,12,NA
1375,"Sprattus sprattus",17.5,17.5,0.297,NA,NA,NA,NA,13,NA
1375,"Sprattus sprattus",18,18,0.136,NA,NA,NA,NA,14.3,NA
1375,"Sprattus sprattus",13,13,0.7,NA,NA,NA,NA,9,NA
1375,"Sprattus sprattus",14,14,0.63,NA,NA,NA,NA,9,NA
1375,"Sprattus sprattus",16.4,16.4,0.53,NA,NA,NA,NA,9,NA
1375,"Sprattus sprattus",14.4,14.4,0.298,NA,NA,NA,NA,9,NA
1375,"Sprattus sprattus",16.3,16.3,0.606,NA,NA,NA,NA,8.5,NA
1375,"Sprattus sprattus",16.4,16.4,0.775,NA,NA,NA,NA,8.5,NA
1375,"Sprattus sprattus",13.2,13.2,0.53,NA,NA,NA,NA,9,NA
1375,"Sprattus sprattus",13.77,13.77,0.42,NA,NA,NA,NA,NA,NA
1375,"Sprattus sprattus",14,14,0.38,NA,NA,NA,NA,NA,NA
1375,"Sprattus sprattus",14.6,14.6,0.298,NA,NA,NA,NA,NA,NA
1375,"Sprattus sprattus",13.4,13.4,0.412,NA,NA,NA,NA,NA,NA
55042,"Sprattus sprattus",14.9,14.9,1.02,NA,NA,NA,NA,8,NA
55042,"Sprattus sprattus",14.9,14.9,1.02,NA,NA,NA,NA,8,NA
55042,"Sprattus sprattus",14.7,14.7,0.821,NA,NA,NA,NA,8.5,NA
55042,"Sprattus sprattus",16,16,0.95,NA,NA,NA,NA,8.5,NA
55042,"Sprattus sprattus",14.8,14.8,0.68,NA,NA,NA,NA,9,NA
55042,"Sprattus sprattus",13.3,13.3,0.51,NA,NA,NA,NA,NA,NA
56829,"Sprattus sprattus",15,NA,0.503,NA,NA,0.491,0.515,NA,NA
1742,"Stolothrissa tanganicae",8.9,8.9,2.66,NA,NA,NA,NA,27,2
1742,"Stolothrissa tanganicae",10.9,10.9,2.6,NA,NA,NA,NA,26,NA
1742,"Stolothrissa tanganicae",7.7,9.39024,1.62,NA,NA,NA,NA,NA,NA
1742,"Stolothrissa tanganicae",8.4,10.2439,2.52,NA,NA,NA,NA,NA,NA
1742,"Stolothrissa tanganicae",8.7,10.60976,2.53,NA,NA,NA,NA,NA,NA
1742,"Stolothrissa tanganicae",10.4,12.68293,1.87,NA,NA,NA,NA,NA,NA
1742,"Stolothrissa tanganicae",10.6,12.92683,2.14,NA,NA,NA,NA,NA,NA
1789,"Tenualosa ilisha",46.1,46.1,1.03,NA,NA,NA,NA,28,NA
1789,"Tenualosa ilisha",44.7,44.7,0.652,NA,NA,NA,NA,28,NA
1789,"Tenualosa ilisha",59.2,59.2,0.8,NA,NA,NA,NA,28,NA
1789,"Tenualosa ilisha",60,60,0.85,NA,NA,NA,NA,28,NA
1789,"Tenualosa ilisha",56.4,56.4,0.91,NA,NA,NA,NA,22.4,NA
1789,"Tenualosa ilisha",56.5,56.5,0.97,NA,NA,NA,NA,22.4,NA
1789,"Tenualosa ilisha",56.8,56.8,1.15,NA,NA,NA,NA,22.4,NA
1789,"Tenualosa ilisha",51.1,51.1,0.49,NA,NA,NA,NA,22.4,NA
1789,"Tenualosa ilisha",52.5,52.5,0.36,NA,NA,NA,NA,24,NA
1789,"Tenualosa ilisha",60,60,0.82,NA,NA,NA,NA,28,NA
1789,"Tenualosa ilisha",31.5,NA,1.5,NA,NA,NA,NA,NA,NA
1791,"Tenualosa reevesii",63.9,82.98701,0.248,NA,NA,NA,NA,27,NA
1791,"Tenualosa reevesii",50.7,65.84415,0.288,NA,NA,NA,NA,27,NA
1793,"Tenualosa toli",57.7,71.2,0.7,NA,NA,NA,NA,29.6,NA
10280,"Cobitis calderoni",9.15,NA,0.186,NA,NA,NA,NA,NA,NA
10280,"Cobitis calderoni",6.15,NA,0.224,NA,NA,NA,NA,NA,NA
55427,"Cobitis narentana",10.1,NA,0.5,NA,NA,NA,NA,NA,NA
55427,"Cobitis narentana",6.53,NA,0.54,NA,NA,NA,NA,NA,NA
10283,"Cobitis paludica",11.0094,NA,0.20887,NA,NA,NA,NA,NA,NA
10283,"Cobitis paludica",6.683,NA,0.43986,NA,NA,NA,NA,NA,NA
46224,"Cobitis simplicispina",9.44,94.4,0.488,NA,NA,NA,NA,NA,NA
46224,"Cobitis simplicispina",9.3,93,0.408,NA,NA,NA,NA,NA,NA
6697,"Cobitis taenia",11.7,11.7,0.29,NA,NA,NA,NA,9,NA
6697,"Cobitis taenia",7.8,7.8,0.59,NA,NA,NA,NA,9,NA
6697,"Cobitis taenia",9.24,NA,0.278,NA,NA,NA,NA,NA,NA
6697,"Cobitis taenia",12.1,NA,0.227,NA,NA,NA,NA,NA,NA
5575,"Lepidocephalichthys guntea",15,15,0.7,NA,NA,NA,NA,23,14
5575,"Lepidocephalichthys guntea",15.4,15.4,0.85,NA,NA,NA,NA,23,14
5575,"Lepidocephalichthys guntea",16.5,16.5,0.7,NA,NA,NA,NA,23,14
5575,"Lepidocephalichthys guntea",17,17,0.7,NA,NA,NA,NA,23,14
5575,"Lepidocephalichthys guntea",11,NA,0.6,NA,NA,NA,NA,26,NA
3212,"Misgurnus anguillicaudatus",28.6,NA,0.159,NA,NA,NA,NA,NA,NA
5018,"Misgurnus fossilis",52,52,0.12,NA,NA,NA,NA,NA,NA
12603,"Pangio kuhlii",6.73,NA,0.368,NA,NA,NA,NA,29,NA
56012,"Pangio muraeniformis",4.35,NA,0.336,NA,NA,NA,NA,29,NA
15500,"Paramisgurnus dabryanus",29.4,NA,0.133,NA,NA,NA,NA,NA,NA
18185,"Sabanejewia aurata",9.2,NA,0.505,NA,NA,NA,NA,NA,NA
41218,"Sabanejewia balcanica",11.1,11.1,0.1,NA,NA,NA,NA,NA,NA
41218,"Sabanejewia balcanica",10.1,10.1,0.36,NA,NA,NA,NA,NA,NA
20659,"Comephorus baikalensis",21,21,0.25,NA,NA,NA,NA,NA,NA
20660,"Comephorus dybowskii",16,16,0.23,NA,NA,NA,NA,NA,NA
315,"Conger conger",229,229,0.068,NA,NA,NA,NA,11,NA
315,"Conger conger",94.8,94.8,0.27,NA,NA,NA,NA,11,NA
315,"Conger conger",265,265,0.063,NA,NA,NA,NA,NA,NA
315,"Conger conger",21.4,21.4,0.059,NA,NA,NA,NA,NA,NA
9,"Coryphaena equiselis",61.4,72.2353,2.173,NA,NA,NA,NA,25,NA
9,"Coryphaena equiselis",53.9,63.4,0.5,NA,NA,NA,NA,22,NA
1884,"Coryphaena hippurus",195,226,0.41,NA,NA,NA,NA,23.8,NA
1884,"Coryphaena hippurus",153,177,1.411,NA,NA,NA,NA,25,NA
1884,"Coryphaena hippurus",190,220,1.187,NA,NA,NA,NA,25,NA
1884,"Coryphaena hippurus",156,181,1.036,NA,NA,NA,NA,21,NA
1884,"Coryphaena hippurus",98.6,115,0.982,NA,NA,NA,NA,18,NA
1884,"Coryphaena hippurus",121,141,0.604,NA,NA,NA,NA,18,NA
1884,"Coryphaena hippurus",194,234,0.91,NA,NA,NA,NA,27.2,NA
1884,"Coryphaena hippurus",122,148,3.43,NA,NA,NA,NA,28,NA
1884,"Coryphaena hippurus",151,180,1.82,NA,NA,NA,NA,27.2,NA
1884,"Coryphaena hippurus",126,153,5.24,NA,NA,NA,NA,28,NA
1884,"Coryphaena hippurus",138,168,2.55,NA,NA,NA,NA,27.2,NA
1884,"Coryphaena hippurus",194,234,1.12,NA,NA,NA,NA,26,NA
1884,"Coryphaena hippurus",236,284,0.53,NA,NA,NA,NA,27.5,NA
1884,"Coryphaena hippurus",110,129.5,1.56,NA,NA,NA,NA,NA,NA
1884,"Coryphaena hippurus",98.7,116.2,2.06,NA,NA,NA,NA,NA,NA
1884,"Coryphaena hippurus",129,NA,2.19,NA,NA,NA,NA,27,NA
1884,"Coryphaena hippurus",149,NA,2.19,NA,NA,NA,NA,27,NA
1884,"Coryphaena hippurus",173,NA,0.31,NA,NA,NA,NA,23,NA
1884,"Coryphaena hippurus",119,119,1.89,NA,NA,NA,NA,NA,NA
1884,"Coryphaena hippurus",106.9,106.9,2.05,NA,NA,NA,NA,NA,NA
1884,"Coryphaena hippurus",127,NA,3.49,NA,NA,NA,NA,NA,NA
1884,"Coryphaena hippurus",194.10001,NA,0.897,NA,NA,NA,NA,NA,NA
1884,"Coryphaena hippurus",123.7,NA,1.1,0.23,NA,NA,NA,NA,NA
1884,"Coryphaena hippurus",130,NA,1.12,0.11,NA,NA,NA,NA,NA
19044,"Artediellus camchaticus",18.9,18.9,0.16,NA,NA,NA,NA,0,3.5
19044,"Artediellus camchaticus",19.8,19.8,0.15,NA,NA,NA,NA,0,3.5
4253,"Clinocottus analis",11,11,0.21,NA,NA,NA,NA,18,NA
4253,"Clinocottus analis",12.3,12.3,0.5,NA,NA,NA,NA,18,NA
4255,"Clinocottus globiceps",12,NA,0.24,NA,NA,NA,NA,NA,NA
4259,"Cottus asperrimus",9.24,11.1,0.18,NA,NA,NA,NA,15,NA
4262,"Cottus beldingii",9,9,0.316,NA,NA,NA,NA,NA,NA
4264,"Cottus cognatus",15.3,15.3,0.136,NA,NA,NA,NA,NA,NA
2633,"Cottus gobio",6.5,6.5,0.5,NA,NA,NA,NA,9,NA
2633,"Cottus gobio",7.3,7.3,0.4,NA,NA,NA,NA,9,NA
2633,"Cottus gobio",6.5,6.5,0.9,NA,NA,NA,NA,9,NA
2633,"Cottus gobio",7.2,7.2,0.7,NA,NA,NA,NA,9,NA
4271,"Cottus klamathensis",9.75,9.75,0.28,NA,NA,NA,NA,NA,NA
4275,"Cottus pitensis",12.7,NA,0.19,NA,NA,NA,NA,NA,NA
19047,"Gymnocanthus detrisus",44.2,44.2,0.13,NA,NA,NA,NA,NA,NA
19047,"Gymnocanthus detrisus",37.7,37.7,0.17,NA,NA,NA,NA,NA,NA
19047,"Gymnocanthus detrisus",43.5,43.5,0.13,NA,NA,NA,NA,NA,NA
4287,"Gymnocanthus galeatus",55.9,55.9,0.11,NA,NA,NA,NA,NA,NA
12042,"Gymnocanthus pistilliger",22.4,22.4,0.228,NA,NA,NA,NA,4,NA
12042,"Gymnocanthus pistilliger",16.6,16.6,0.375,NA,NA,NA,NA,4,NA
12042,"Gymnocanthus pistilliger",27.6,27.6,0.17,NA,NA,NA,NA,NA,NA
4288,"Gymnocanthus tricuspis",14,16.2,0.383,NA,NA,NA,NA,1,NA
4288,"Gymnocanthus tricuspis",11,12.8,0.338,NA,NA,NA,NA,1,NA
4292,"Hemilepidotus zapus",38,38,0.12,NA,NA,NA,NA,NA,NA
19007,"Icelus canaliculatus",22,22,0.34,NA,NA,NA,NA,NA,NA
19007,"Icelus canaliculatus",20.8,20.8,0.4,NA,NA,NA,NA,NA,NA
19009,"Icelus perminovi",18.2,18.2,0.29,NA,NA,NA,NA,NA,NA
19009,"Icelus perminovi",21.3,21.3,0.17,NA,NA,NA,NA,NA,NA
4305,"Icelus spiniger",29.8,29.8,0.14,NA,NA,NA,NA,NA,NA
4305,"Icelus spiniger",28.7,28.7,0.13,NA,NA,NA,NA,NA,NA
4310,"Megalocottus platycephalus",49.9,49.9,0.16,NA,NA,NA,NA,NA,NA
4310,"Megalocottus platycephalus",33.6,33.6,0.24,NA,NA,NA,NA,NA,NA
19030,"Myoxocephalus brandtii",33.9,33.9,0.492,NA,NA,NA,NA,15,NA
19030,"Myoxocephalus brandtii",30.4,30.4,0.626,NA,NA,NA,NA,15,NA
4314,"Myoxocephalus jaok",60.1,60.1,0.15,NA,NA,NA,NA,NA,NA
4314,"Myoxocephalus jaok",38.5,38.5,0.34,NA,NA,NA,NA,NA,NA
4314,"Myoxocephalus jaok",120,120,0.07,NA,NA,NA,NA,NA,NA
4314,"Myoxocephalus jaok",61,61,0.16,NA,NA,NA,NA,NA,NA
4316,"Myoxocephalus octodecemspinosus",30,30,0.72,NA,NA,NA,NA,15,NA
4317,"Myoxocephalus polyacanthocephalus",97,97,0.14,NA,NA,NA,NA,NA,NA
4317,"Myoxocephalus polyacanthocephalus",60.7,60.7,0.21,NA,NA,NA,NA,NA,NA
4317,"Myoxocephalus polyacanthocephalus",109.2,109.2,0.08,NA,NA,NA,NA,NA,NA
4317,"Myoxocephalus polyacanthocephalus",72.5,72.5,0.12,NA,NA,NA,NA,NA,NA
4318,"Myoxocephalus quadricornis",62.2,62.2,0.16,NA,NA,NA,NA,NA,NA
4318,"Myoxocephalus quadricornis",33.1,33.1,0.24,NA,NA,NA,NA,NA,NA
4318,"Myoxocephalus quadricornis",23.9,NA,0.45,NA,NA,NA,NA,NA,NA
1347,"Myoxocephalus scorpius",26.7,26.7,0.539,NA,NA,NA,NA,12,NA
1347,"Myoxocephalus scorpius",32.3,32.3,0.358,NA,NA,NA,NA,8,NA
1347,"Myoxocephalus scorpius",19.6,19.6,0.758,NA,NA,NA,NA,8,NA
1347,"Myoxocephalus scorpius",24.37,NA,0.3381,NA,NA,NA,NA,NA,NA
1347,"Myoxocephalus scorpius",25.48,NA,0.4282,NA,NA,NA,NA,NA,NA
1347,"Myoxocephalus scorpius",27.25,NA,0.3629,NA,NA,NA,NA,NA,NA
1347,"Myoxocephalus scorpius",18.43,NA,0.5554,NA,NA,NA,NA,NA,NA
1347,"Myoxocephalus scorpius",21.34,NA,0.3291,NA,NA,NA,NA,NA,NA
1347,"Myoxocephalus scorpius",21.85,NA,0.5338,NA,NA,NA,NA,NA,NA
13387,"Myoxocephalus stelleri",51.2,51.2,0.26,NA,NA,NA,NA,NA,NA
13387,"Myoxocephalus stelleri",37.3,37.3,0.44,NA,NA,NA,NA,NA,NA
13387,"Myoxocephalus stelleri",60.4,71.6,0.17,NA,NA,NA,NA,NA,NA
13387,"Myoxocephalus stelleri",36.9,41,0.39,NA,NA,NA,NA,NA,NA
4324,"Oligocottus maculosus",10.2,10.2,0.208,NA,NA,NA,NA,8.5,NA
4336,"Scorpaenichthys marmoratus",57.7,57.7,0.342,NA,NA,NA,NA,18,NA
1379,"Taurulus bubalis",18.7,18.7,0.251,NA,NA,NA,NA,8,NA
1379,"Taurulus bubalis",18.4,18.4,0.207,NA,NA,NA,NA,8,NA
4340,"Triglops forficatus",38.8,38.8,0.21,NA,NA,NA,NA,NA,NA
4344,"Triglops pingelii",27.3,27.3,0.19,NA,NA,NA,NA,NA,NA
4345,"Triglops scepticus",39,39,0.11,NA,NA,NA,NA,NA,NA
40291,"Batrachocottus baicalensis",18.9,18.9,0.21,NA,NA,NA,NA,NA,NA
40292,"Batrachocottus multiradiatus",19.8,19.8,0.22,NA,NA,NA,NA,NA,NA
4693,"Cottocomephorus grewingkii",15,15.3,0.26,NA,NA,NA,NA,NA,NA
40300,"Leocottus kesslerii",14,14,0.23,NA,NA,NA,NA,NA,NA
40337,"Paracottus knerii",15,15,0.16,NA,NA,NA,NA,NA,NA
72,"Cyclopterus lumpus",55,55,0.12,NA,NA,NA,NA,5,NA
72,"Cyclopterus lumpus",52.7,NA,0.255,0.14,NA,NA,NA,NA,NA
9429,"Cyema atrum",15,15,1,NA,NA,NA,NA,4,NA
10844,"Cynoglossus abbreviatus",44.5,44.5,0.16,NA,NA,NA,NA,22,NA
10844,"Cynoglossus abbreviatus",41.5,41.5,0.15,NA,NA,NA,NA,22,NA
7828,"Cynoglossus arel",31.7,31.7,0.239,NA,NA,NA,NA,27,NA
7828,"Cynoglossus arel",61.5,61.5,0.315,NA,NA,NA,NA,27.6,NA
7828,"Cynoglossus arel",57,57,0.238,NA,NA,NA,NA,27.6,NA
7828,"Cynoglossus arel",39.9,NA,0.98,NA,NA,NA,NA,NA,NA
5180,"Cynoglossus canariensis",52,52,0.481,NA,NA,NA,NA,17.5,NA
5180,"Cynoglossus canariensis",45.5,45.5,0.566,NA,NA,NA,NA,17.5,NA
5180,"Cynoglossus canariensis",55,55,0.32,NA,NA,NA,NA,16,NA
5180,"Cynoglossus canariensis",50.5,50.5,0.36,NA,NA,NA,NA,16,NA
5180,"Cynoglossus canariensis",54.5,54.5,0.306,NA,NA,NA,NA,16,NA
5180,"Cynoglossus canariensis",47.4,47.4,0.333,NA,NA,NA,NA,16,NA
9279,"Cynoglossus joyneri",29.1,29.1,0.19,NA,NA,NA,NA,22,NA
9279,"Cynoglossus joyneri",27.4,27.4,0.17,NA,NA,NA,NA,22,NA
5764,"Cynoglossus lida",34,34,0.223,NA,NA,NA,NA,27.6,NA
5764,"Cynoglossus lida",33.5,33.5,0.233,NA,NA,NA,NA,27.6,NA
5036,"Cynoglossus puncticeps",24.5,24.5,0.65,NA,NA,NA,NA,28.2,NA
13395,"Cynoglossus robustus",35.1,NA,1.05,NA,NA,NA,NA,NA,NA
13395,"Cynoglossus robustus",32.4,NA,1.16,NA,NA,NA,NA,NA,NA
13395,"Cynoglossus robustus",46,NA,0.278,NA,NA,NA,NA,NA,NA
13395,"Cynoglossus robustus",43.4,NA,0.28,NA,NA,NA,NA,NA,NA
13395,"Cynoglossus robustus",40.7,NA,0.638,NA,NA,NA,NA,NA,NA
13395,"Cynoglossus robustus",35.3,NA,0.703,NA,NA,NA,NA,NA,NA
15468,"Cynoglossus semifasciatus",17.4,17.4,1.86,NA,NA,NA,NA,27,NA
5184,"Cynoglossus senegalensis",82.1,82.1,0.097,NA,NA,NA,NA,16,NA
9191,"Symphurus ligulatus",12.9,12.9,0.65,NA,NA,NA,NA,14,NA
1035,"Symphurus plagiusa",19.1,19.1,0.32,NA,NA,NA,NA,15,NA
1035,"Symphurus plagiusa",19.7,19.7,0.285,NA,NA,NA,NA,15,NA
18177,"Abbottina rivularis",15.8,NA,0.3,NA,NA,NA,NA,NA,NA
282,"Abramis brama",51.9,51.9,0.153,NA,NA,NA,NA,6.6,NA
282,"Abramis brama",52.4,52.4,0.429,NA,NA,NA,NA,7.8,NA
282,"Abramis brama",54.1,54.1,0.241,NA,NA,NA,NA,6.6,NA
282,"Abramis brama",54.6,54.6,0.257,NA,NA,NA,NA,NA,NA
282,"Abramis brama",57.7,57.7,0.287,NA,NA,NA,NA,NA,NA
282,"Abramis brama",61.8,61.8,0.065,NA,NA,NA,NA,8.3,NA
282,"Abramis brama",65.5,65.5,0.191,NA,NA,NA,NA,7,NA
282,"Abramis brama",68.6,68.6,0.131,NA,NA,NA,NA,9,NA
282,"Abramis brama",70.1,70.1,0.058,NA,NA,NA,NA,9,NA
282,"Abramis brama",71.6,71.6,0.075,NA,NA,NA,NA,9,NA
282,"Abramis brama",71.6,71.6,0.109,NA,NA,NA,NA,NA,NA
282,"Abramis brama",72.9,72.9,0.119,NA,NA,NA,NA,4.7,NA
282,"Abramis brama",73,73,0.191,NA,NA,NA,NA,9.8,NA
282,"Abramis brama",74.5,74.5,0.091,NA,NA,NA,NA,NA,NA
