"","sname","DataSource.x","DataSource.y"
"562","Dascyllus reticulatus","Speciesmpack",NA
"563","Dasyatis akajei","Speciesmpack","FBmpack"
"564","Dasyatis sabina","Speciesmpack",NA
"565","Dasycottus setiger","Speciesmpack",NA
"566","Deania calcea","Speciesmpack","FBmpack"
"567","Decapterus kurroides","Speciesmpack",NA
"568","Decapterus macarellus","Speciesmpack",NA
"569","Decapterus macrosoma","Speciesmpack",NA
"570","Decapterus maruadsi","Speciesmpack","FBmpack"
"571","Decapterus punctatus","Speciesmpack",NA
"572","Decapterus russelli","Speciesmpack","FBmpack"
"573","Decapterus spp",NA,"FBmpack"
"574","Delphinapterus leucas",NA,"FBmpack"
"575","Delphinidae",NA,"FBmpack"
"576","Delphinus delphis",NA,"FBmpack"
"577","Dendrophysa russelii","Speciesmpack",NA
"578","Dentex angolensis","Speciesmpack",NA
"579","Dentex canariensis","Speciesmpack",NA
"580","Dentex congoensis","Speciesmpack","FBmpack"
"581","Dentex dentex","Speciesmpack","FBmpack"
"582","Dentex gibbosus","Speciesmpack",NA
"583","Dentex macrophthalmus","Speciesmpack","FBmpack"
"584","Dentex maroccanus","Speciesmpack",NA
"585","Dentex spp",NA,"FBmpack"
"586","Dentex tumifrons","Speciesmpack",NA
"587","Diagramma pictum","Speciesmpack",NA
"588","Diapterus peruvianus","Speciesmpack",NA
"589","Diapterus rhombeus","Speciesmpack",NA
"590","Dicentrarchus labrax","Speciesmpack","FBmpack"
"591","Dicentrarchus punctatus","Speciesmpack","FBmpack"
"592","Dicentrarchus spp",NA,"FBmpack"
"593","Dichistius capensis","Speciesmpack",NA
"594","Dicologlossa cuneata","Speciesmpack","FBmpack"
"595","Diplectrum formosum","Speciesmpack",NA
"596","Diplodus annularis","Speciesmpack",NA
"597","Diplodus argenteus",NA,"FBmpack"
"598","Diplodus bellottii","Speciesmpack",NA
"599","Diplodus capensis","Speciesmpack",NA
"600","Diplodus hottentotus","Speciesmpack",NA
"601","Diplodus sargus",NA,"FBmpack"
"602","Diplodus sargus cadenati","Speciesmpack",NA
"603","Diplodus sargus sargus","Speciesmpack",NA
"604","Diplodus spp",NA,"FBmpack"
"605","Diplodus vulgaris","Speciesmpack",NA
"606","Dipturus batis","Speciesmpack",NA
"607","Dipturus innominatus","Speciesmpack",NA
"608","Dipturus laevis","Speciesmpack",NA
"609","Dipturus pullopunctatus","Speciesmpack",NA
"610","Dissostichus eleginoides",NA,"FBmpack"
"611","Dissostichus mawsoni",NA,"FBmpack"
"612","Distichodus rostratus","Speciesmpack",NA
"613","Doederleinia berycoides","Speciesmpack",NA
"614","Dolichopteryx longipes","Speciesmpack",NA
"615","Donax spp",NA,"FBmpack"
"616","Dormitator latifrons","Speciesmpack",NA
"617","Dorosoma cepedianum","Speciesmpack",NA
"618","Dosidicus gigas",NA,"FBmpack"
"619","Drepane africana","Speciesmpack","FBmpack"
"620","Drepane punctata","Speciesmpack","FBmpack"
"621","Durvillaea antartica",NA,"FBmpack"
"622","Dussumieria acuta","Speciesmpack","FBmpack"
"623","Dussumieria elopsoides","Speciesmpack",NA
"624","Echinodermata",NA,"FBmpack"
"625","Echinus esculentus",NA,"FBmpack"
"626","Elagatis bipinnulata","Speciesmpack","FBmpack"
"627","Elasmobranchii",NA,"FBmpack"
"628","Electrona carlsbergi","Speciesmpack",NA
"629","Electrona risso","Speciesmpack",NA
"630","Eledone spp",NA,"FBmpack"
"631","Eleginops maclovinus",NA,"FBmpack"
"632","Eleginus gracilis",NA,"FBmpack"
"633","Eleginus navaga",NA,"FBmpack"
"634","Eleutheronema tetradactylum",NA,"FBmpack"
"635","Elopichthys bambusa","Speciesmpack",NA
"636","Elops lacerta",NA,"FBmpack"
"637","Elops saurus","Speciesmpack","FBmpack"
"638","Emmelichthys nitidus",NA,"FBmpack"
"639","Enchelyopus cimbrius","Speciesmpack",NA
"640","Encrasicholina devisi","Speciesmpack",NA
"641","Encrasicholina heteroloba","Speciesmpack",NA
"642","Encrasicholina punctifer","Speciesmpack",NA
"643","Encrasicholina purpurea","Speciesmpack",NA
"644","Engraulicypris sardella","Speciesmpack",NA
"645","Engraulidae",NA,"FBmpack"
"646","Engraulis anchoita","Speciesmpack","FBmpack"
"647","Engraulis australis","Speciesmpack",NA
"648","Engraulis capensis",NA,"FBmpack"
"649","Engraulis encrasicolus","Speciesmpack","FBmpack"
"650","Engraulis japonicus","Speciesmpack","FBmpack"
"651","Engraulis mordax","Speciesmpack","FBmpack"
"652","Engraulis ringens","Speciesmpack","FBmpack"
"653","Eopsetta grigorjewi","Speciesmpack",NA
"654","Eopsetta jordani","Speciesmpack","FBmpack"
"655","Ephippidae",NA,"FBmpack"
"656","Epigonus spp",NA,"FBmpack"
"657","Epigonus telescopus",NA,"FBmpack"
"658","Epinephelus adscensionis","Speciesmpack",NA
"659","Epinephelus aeneus","Speciesmpack","FBmpack"
"660","Epinephelus areolatus","Speciesmpack",NA
"661","Epinephelus chlorostigma","Speciesmpack",NA
"662","Epinephelus coioides","Speciesmpack","FBmpack"
"663","Epinephelus costae","Speciesmpack",NA
"664","Epinephelus cyanopodus","Speciesmpack",NA
"665","Epinephelus diacanthus","Speciesmpack",NA
"666","Epinephelus drummondhayi","Speciesmpack",NA
"667","Epinephelus fasciatus","Speciesmpack","FBmpack"
"668","Epinephelus fuscoguttatus","Speciesmpack",NA
"669","Epinephelus goreensis",NA,"FBmpack"
"670","Epinephelus guttatus","Speciesmpack","FBmpack"
"671","Epinephelus hexagonatus","Speciesmpack",NA
"672","Epinephelus itajara","Speciesmpack",NA
"673","Epinephelus labriformis","Speciesmpack",NA
"674","Epinephelus latifasciatus","Speciesmpack",NA
"675","Epinephelus maculatus","Speciesmpack",NA
"676","Epinephelus malabaricus","Speciesmpack",NA
"677","Epinephelus marginatus","Speciesmpack","FBmpack"
"678","Epinephelus merra","Speciesmpack",NA
"679","Epinephelus morio","Speciesmpack","FBmpack"
"680","Epinephelus multinotatus","Speciesmpack",NA
"681","Epinephelus ongus","Speciesmpack",NA
"682","Epinephelus polylepis","Speciesmpack",NA
"683","Epinephelus rivulatus","Speciesmpack",NA
"684","Epinephelus sexfasciatus","Speciesmpack",NA
"685","Epinephelus spp",NA,"FBmpack"
"686","Epinephelus striatus","Speciesmpack","FBmpack"
"687","Epinephelus tauvina","Speciesmpack",NA
"688","Eptatretus polytrema","Speciesmpack",NA
"689","Equulites elongatus","Speciesmpack",NA
"690","Equulites leuciscus","Speciesmpack",NA
"691","Equulites lineolatus","Speciesmpack",NA
"692","Eretmochelys imbricata",NA,"FBmpack"
"693","Ericymba buccata","Speciesmpack",NA
"694","Erignathus barbatus",NA,"FBmpack"
"695","Erimacrus isenbeckii",NA,"FBmpack"
"696","Eschrichtius robustus",NA,"FBmpack"
"697","Esox americanus americanus","Speciesmpack",NA
"698","Esox lucius","Speciesmpack","FBmpack"
"699","Esox niger","Speciesmpack",NA
"700","Etelis carbunculus","Speciesmpack",NA
"701","Etelis coruscans","Speciesmpack",NA
"702","Etelis oculatus","Speciesmpack",NA
"703","Etheostoma caeruleum","Speciesmpack",NA
"704","Etheostoma flabellare","Speciesmpack",NA
"705","Etheostoma nigrum","Speciesmpack",NA
"706","Etheostoma sagitta","Speciesmpack",NA
"707","Ethmalosa fimbriata","Speciesmpack","FBmpack"
"708","Ethmidium maculatum",NA,"FBmpack"
"709","Etropus crossotus","Speciesmpack",NA
"710","Etrumeus sadina","Speciesmpack",NA
"711","Etrumeus teres",NA,"FBmpack"
"712","Etrumeus whiteheadi","Speciesmpack","FBmpack"
"713","Eubleekeria splendens","Speciesmpack",NA
"714","Eucinostomus gula","Speciesmpack",NA
"715","Eugerres brasilianus","Speciesmpack",NA
"716","Eugerres plumieri","Speciesmpack",NA
"717","Eumetopias jubatus",NA,"FBmpack"
"718","Euphausia superba",NA,"FBmpack"
"719","Euthynnus affinis","Speciesmpack","FBmpack"
"720","Euthynnus alletteratus","Speciesmpack","FBmpack"
"721","Euthynnus lineatus",NA,"FBmpack"
"722","Eutrigla gurnardus","Speciesmpack","FBmpack"
"723","Ex Mollusca",NA,"FBmpack"
"724","Ex Pinctada spp",NA,"FBmpack"
"725","Ex Trochus spp",NA,"FBmpack"
"726","Ex Turbo spp",NA,"FBmpack"
"727","Exocoetidae",NA,"FBmpack"
"728","Facciolella gilbertii","Speciesmpack",NA
"729","Favonigobius lateralis","Speciesmpack",NA
"730","Favonigobius lentiginosus","Speciesmpack",NA
"731","Forbesichthys agassizii","Speciesmpack",NA
"732","Forsterygion lapillum","Speciesmpack",NA
"733","Forsterygion varium","Speciesmpack",NA
"734","Fundulus parvipinnis","Speciesmpack",NA
"735","Furgaleus macki","Speciesmpack",NA
"736","Gadiculus argenteus","Speciesmpack",NA
"737","Gadiformes",NA,"FBmpack"
"738","Gadus macrocephalus","Speciesmpack","FBmpack"
"739","Gadus morhua","Speciesmpack","FBmpack"
"740","Gadus ogac",NA,"FBmpack"
"741","Gaidropsarus mediterraneus","Speciesmpack",NA
"742","Galatheidae",NA,"FBmpack"
"743","Galaxias occidentalis","Speciesmpack",NA
"744","Galaxiella munda","Speciesmpack",NA
"745","Galaxiella nigrostriata","Speciesmpack",NA
"746","Galaxiella pusilla","Speciesmpack",NA
"747","Galeocerdo cuvier","Speciesmpack",NA
"748","Galeoides decadactylus","Speciesmpack","FBmpack"
"749","Galeorhinus galeus","Speciesmpack","FBmpack"
"750","Galeus melastomus",NA,"FBmpack"
"751","Gambusia affinis","Speciesmpack",NA
"752","Garra mullya","Speciesmpack",NA
"753","Gasterosteus aculeatus","Speciesmpack","FBmpack"
"754","Gastropoda",NA,"FBmpack"
"755","Gazza minuta","Speciesmpack",NA
"756","Gelidium spp",NA,"FBmpack"
"757","Genyonemus lineatus",NA,"FBmpack"
"758","Genypterus blacodes","Speciesmpack","FBmpack"
"759","Genypterus capensis","Speciesmpack","FBmpack"
"760","Genypterus chilensis",NA,"FBmpack"
"761","Genypterus maculatus",NA,"FBmpack"
"762","Genypterus spp",NA,"FBmpack"
"763","Gerreidae",NA,"FBmpack"
"764","Gerres cinereus","Speciesmpack",NA
"765","Gerres filamentosus","Speciesmpack",NA
"766","Gerres longirostris","Speciesmpack",NA
"767","Gerres oyena","Speciesmpack",NA
"768","Gerres setifer","Speciesmpack",NA
"769","Gerres spp",NA,"FBmpack"
"770","Gigantura indica","Speciesmpack",NA
"771","Gigartinaceae",NA,"FBmpack"
"772","Girella tricuspidata","Speciesmpack","FBmpack"
"773","Glaucosoma buergeri","Speciesmpack",NA
"774","Glaucosoma hebraicum","Speciesmpack",NA
"775","Globicephala macrorhynchus",NA,"FBmpack"
"776","Globicephala melas",NA,"FBmpack"
"777","Glossanodon semifasciatus","Speciesmpack","FBmpack"
"778","Glossogobius giuris","Speciesmpack",NA
"779","Glycymeris glycymeris",NA,"FBmpack"
"780","Glyptocephalus cynoglossus","Speciesmpack","FBmpack"
"781","Glyptocephalus zachirus",NA,"FBmpack"
"782","Gnathanodon speciosus","Speciesmpack","FBmpack"
"783","Gobiesox rhessodon","Speciesmpack",NA
"784","Gobiidae",NA,"FBmpack"
"785","Gobio gobio","Speciesmpack",NA
"786","Gobio soldatovi","Speciesmpack",NA
"787","Gobionellus microdon","Speciesmpack",NA
"788","Gobionotothen gibberifrons","Speciesmpack",NA
"789","Gobiosoma robustum","Speciesmpack",NA
"790","Gobius cobitis","Speciesmpack",NA
"791","Gobius niger","Speciesmpack",NA
"792","Gobius paganellus","Speciesmpack",NA
"793","Gobius vittatus","Speciesmpack",NA
"794","Gracilaria spp",NA,"FBmpack"
"795","Grammoplites suppositus",NA,"FBmpack"
"796","Grampus griseus",NA,"FBmpack"
"797","Gudusia chapra","Speciesmpack",NA
"798","Gymnapistes marmoratus","Speciesmpack",NA
"799","Gymnarchus niloticus","Speciesmpack",NA
"800","Gymnocanthus pistilliger","Speciesmpack",NA
"801","Gymnocanthus tricuspis","Speciesmpack",NA
"802","Gymnocephalus cernua","Speciesmpack",NA
"803","Gymnocranius audleyi","Speciesmpack",NA
"804","Gymnocranius euanus","Speciesmpack",NA
"805","Gymnocranius grandoculis","Speciesmpack",NA
"806","Gymnocranius griseus","Speciesmpack",NA
"807","Gymnocranius spp",NA,"FBmpack"
"808","Gymnosarda unicolor",NA,"FBmpack"
"809","Gymnotus carapo","Speciesmpack",NA
"810","Haemulon album","Speciesmpack",NA
"811","Haemulon aurolineatum","Speciesmpack",NA
"812","Haemulon bonariense","Speciesmpack",NA
"813","Haemulon flaviguttatum","Speciesmpack",NA
"814","Haemulon flavolineatum","Speciesmpack",NA
"815","Haemulon maculicauda","Speciesmpack",NA
"816","Haemulon melanurum","Speciesmpack",NA
"817","Haemulon parra","Speciesmpack",NA
"818","Haemulon plumierii","Speciesmpack",NA
"819","Haemulon sciurus","Speciesmpack",NA
"820","Haemulon sexfasciatum","Speciesmpack",NA
"821","Halichoeres hortulanus","Speciesmpack",NA
"822","Halichoeres marginatus","Speciesmpack",NA
"823","Halichoeres radiatus","Speciesmpack",NA
"824","Halichoeres scapularis","Speciesmpack",NA
"825","Halichoerus grypus",NA,"FBmpack"
"826","Haliotis gigantea",NA,"FBmpack"
"827","Haliotis midae",NA,"FBmpack"
"828","Haliotis rubra",NA,"FBmpack"
"829","Haliotis spp",NA,"FBmpack"
"830","Haliotis tuberculata",NA,"FBmpack"
"831","Haliporoides diomedeae",NA,"FBmpack"
"832","Haliporoides triarthrus",NA,"FBmpack"
"833","Hampala macrolepidota","Speciesmpack",NA
"834","Harengula humeralis","Speciesmpack",NA
"835","Harengula jaguana","Speciesmpack",NA
"836","Harengula spp",NA,"FBmpack"
"837","Harpadon nehereus","Speciesmpack","FBmpack"
"838","Helicolenus dactylopterus","Speciesmpack","FBmpack"
"839","Helicolenus percoides","Speciesmpack",NA
"840","Hemerocoetes monopterygius","Speciesmpack",NA
"841","Hemichromis fasciatus","Speciesmpack",NA
"842","Hemiculter leucisculus","Speciesmpack",NA
"843","Hemilepidotus zapus","Speciesmpack",NA
"844","Hemiramphus brasiliensis","Speciesmpack","FBmpack"
"845","Hemiramphus convexus","Speciesmpack",NA
"846","Hemiramphus spp",NA,"FBmpack"
"847","Hemisorubim platyrhynchos","Speciesmpack",NA
"848","Herklotsichthys quadrimaculat.",NA,"FBmpack"
"849","Herklotsichthys quadrimaculatus","Speciesmpack",NA
"850","Heterandria bimaculata","Speciesmpack",NA
"851","Heterobranchus longifilis","Speciesmpack",NA
"852","Heterocarpus reedi",NA,"FBmpack"
"853","Heteropneustes fossilis","Speciesmpack",NA
"854","Heterotis niloticus","Speciesmpack",NA
"855","Hilsa kelee","Speciesmpack","FBmpack"
"856","Hippocampus erectus","Speciesmpack",NA
"857","Hippocampus reidi","Speciesmpack",NA
"858","Hippocampus whitei","Speciesmpack",NA
"859","Hippocampus zosterae","Speciesmpack",NA
"860","Hippoglossoides elassodon",NA,"FBmpack"
"861","Hippoglossoides platessoides","Speciesmpack","FBmpack"
"862","Hippoglossoides robustus","Speciesmpack",NA
"863","Hippoglossus hippoglossus","Speciesmpack","FBmpack"
"864","Hippoglossus stenolepis","Speciesmpack","FBmpack"
"865","Hipposcarus longiceps","Speciesmpack",NA
"866","Hirundichthys affinis","Speciesmpack",NA
"867","Hirundichthys oxycephalus","Speciesmpack",NA
"868","Histiobranchus bathybius","Speciesmpack",NA
"869","Holocentridae",NA,"FBmpack"
"870","Holocentrus adscensionis","Speciesmpack",NA
"871","Holocentrus rufus","Speciesmpack",NA
"872","Homalaspis plana",NA,"FBmpack"
"873","Homarus americanus",NA,"FBmpack"
"874","Homarus gammarus",NA,"FBmpack"
"875","Hoplias malabaricus","Speciesmpack",NA
"876","Hoplosternum littorale","Speciesmpack",NA
"877","Hoplostethus atlanticus","Speciesmpack","FBmpack"
"878","Hoplostethus mediterraneus","Speciesmpack",NA
"879","Howella brodiei","Speciesmpack",NA
"880","Hucho hucho","Speciesmpack",NA
"881","Hucho taimen","Speciesmpack",NA
"882","Huso dauricus","Speciesmpack",NA
"883","Huso huso","Speciesmpack","FBmpack"
"884","Hydrocynus forskahlii","Speciesmpack",NA
"885","Hydrocynus vittatus","Speciesmpack",NA
"886","Hydrolagus colliei","Speciesmpack",NA
"887","Hydrolagus novaezealandiae",NA,"FBmpack"
"888","Hydrolagus spp",NA,"FBmpack"
"889","Hymenocephalus italicus","Speciesmpack",NA
"890","Hyperoglyphe antarctica","Speciesmpack","FBmpack"
"891","Hyperoodon ampullatus",NA,"FBmpack"
"892","Hyperoplus lanceolatus","Speciesmpack",NA
"893","Hyperprosopon anale","Speciesmpack",NA
"894","Hypomesus olidus","Speciesmpack",NA
"895","Hypomesus pretiosus",NA,"FBmpack"
"896","Hypophthalmichthys molitrix","Speciesmpack",NA
"897","Hypophthalmichthys nobilis","Speciesmpack",NA
"898","Hypoptychus dybowskii","Speciesmpack","FBmpack"
"899","Hyporhamphus melanochir","Speciesmpack",NA
"900","Hyporhamphus sajori",NA,"FBmpack"
"901","Hyporthodus flavolimbatus","Speciesmpack",NA
"902","Hyporthodus nigritus","Speciesmpack",NA
"903","Hyporthodus niveatus","Speciesmpack",NA
"904","Ibacus ciliatus",NA,"FBmpack"
"905","Icosteus aenigmaticus","Speciesmpack",NA
"906","Ictalurus punctatus","Speciesmpack",NA
"907","Idiacanthus antrostomus","Speciesmpack",NA
"908","Ilisha africana","Speciesmpack","FBmpack"
"909","Ilisha elongata",NA,"FBmpack"
"910","Ilisha filigera","Speciesmpack",NA
"911","Illex argentinus",NA,"FBmpack"
"912","Illex coindetii",NA,"FBmpack"
"913","Illex illecebrosus",NA,"FBmpack"
"914","Invertebrata",NA,"FBmpack"
"915","Isacia conceptionis",NA,"FBmpack"
"916","Isogomphodon oxyrhynchus","Speciesmpack",NA
"917","Isopsetta isolepis","Speciesmpack",NA
"918","Istiompax indica","Speciesmpack",NA
"919","Istiophoridae",NA,"FBmpack"
"920","Istiophorus albicans","Speciesmpack","FBmpack"
"921","Istiophorus platypterus","Speciesmpack","FBmpack"
"922","Isurus oxyrinchus","Speciesmpack","FBmpack"
"923","Jasus edwardsii",NA,"FBmpack"
"924","Jasus frontalis",NA,"FBmpack"
"925","Jasus lalandii",NA,"FBmpack"
"926","Jasus novaehollandiae",NA,"FBmpack"
"927","Jasus paulensis",NA,"FBmpack"
"928","Jasus tristani",NA,"FBmpack"
"929","Jasus verreauxi",NA,"FBmpack"
"930","Jaydia lineata","Speciesmpack",NA
"931","Jenkinsia lamprotaenia","Speciesmpack",NA
"932","Jenynsia lineata","Speciesmpack",NA
"933","Johnius borneensis","Speciesmpack",NA
"934","Johnius carutta","Speciesmpack",NA
"935","Johnius coitor","Speciesmpack",NA
"936","Johnius dussumieri","Speciesmpack",NA
"937","Johnius macrorhynus","Speciesmpack",NA
"938","Joturus pichardi",NA,"FBmpack"
"939","Kajikia albida","Speciesmpack",NA
"940","Kajikia audax","Speciesmpack",NA
"941","Karalepis stewarti","Speciesmpack",NA
"942","Karalla daura","Speciesmpack",NA
"943","Kareius bicoloratus","Speciesmpack",NA
"944","Kathetostoma averruncus","Speciesmpack",NA
"945","Kathetostoma giganteum","Speciesmpack","FBmpack"
"946","Katsuwonus pelamis","Speciesmpack","FBmpack"
"947","Konosirus punctatus","Speciesmpack","FBmpack"
"948","Kyphosidae",NA,"FBmpack"
"949","Kyphosus cinerascens","Speciesmpack",NA
"950","Labeo coubie","Speciesmpack",NA
"951","Labidesthes sicculus","Speciesmpack",NA
"952","Labridae",NA,"FBmpack"
"953","Labrus bergylta","Speciesmpack",NA
"954","Labrus merula","Speciesmpack",NA
"955","Labrus mixtus","Speciesmpack",NA
"956","Lachnolaimus maximus","Speciesmpack",NA
"957","Lactarius lactarius","Speciesmpack","FBmpack"
"958","Ladislavia taczanowskii","Speciesmpack",NA
"959","Lagocephalus sceleratus","Speciesmpack",NA
"960","Lagodon rhomboides","Speciesmpack",NA
"961","Laminaria digitata",NA,"FBmpack"
"962","Laminaria hyperborea",NA,"FBmpack"
"963","Laminaria japonica",NA,"FBmpack"
"964","Lamna nasus","Speciesmpack","FBmpack"
"965","Lampanyctodes hectoris","Speciesmpack",NA
"966","Lampetra planeri","Speciesmpack",NA
"967","Lampris guttatus",NA,"FBmpack"
"968","Larimichthys croceus",NA,"FBmpack"
"969","Larimichthys polyactis","Speciesmpack","FBmpack"
"970","Larimus fasciatus","Speciesmpack",NA
"971","Lateolabrax japonicus","Speciesmpack","FBmpack"
"972","Lates angustifrons","Speciesmpack",NA
"973","Lates calcarifer","Speciesmpack","FBmpack"
"974","Lates longispinis","Speciesmpack",NA
"975","Lates microlepis","Speciesmpack",NA
"976","Lates niloticus","Speciesmpack",NA
"977","Lates stappersii","Speciesmpack",NA
"978","Latimeria chalumnae","Speciesmpack",NA
"979","Latridae",NA,"FBmpack"
"980","Latridopsis ciliaris","Speciesmpack",NA
"981","Latris lineata","Speciesmpack",NA
"982","Leiognathidae",NA,"FBmpack"
"983","Leiognathus brevirostris","Speciesmpack",NA
"984","Leiognathus equulus","Speciesmpack",NA
"985","Leiognathus spp",NA,"FBmpack"
"986","Leiostomus xanthurus","Speciesmpack","FBmpack"
"987","Lepidion eques","Speciesmpack",NA
"988","Lepidion lepidion","Speciesmpack",NA
"989","Lepidocephalichthys guntea","Speciesmpack",NA
"990","Lepidocybium flavobrunneum",NA,"FBmpack"
"991","Lepidogalaxias salamandroides","Speciesmpack",NA
"992","Lepidogobius lepidus","Speciesmpack",NA
"993","Lepidonotothen squamifrons","Speciesmpack",NA
"994","Lepidoperca pulchella",NA,"FBmpack"
"995","Lepidophanes guentheri","Speciesmpack",NA
"996","Lepidopsetta bilineata","Speciesmpack","FBmpack"
"997","Lepidopsetta polyxystra","Speciesmpack",NA
"998","Lepidopus caudatus","Speciesmpack","FBmpack"
"999","Lepidorhombus boscii","Speciesmpack",NA
"1000","Lepidorhombus spp",NA,"FBmpack"
"1001","Lepidorhombus whiffiagonis","Speciesmpack","FBmpack"
"1002","Lepidorhynchus denticulatus",NA,"FBmpack"
"1003","Lepidotrigla cavillone","Speciesmpack",NA
"1004","Lepisosteus osseus","Speciesmpack",NA
"1005","Lepomis gibbosus","Speciesmpack",NA
"1006","Lepomis macrochirus","Speciesmpack",NA
"1007","Leporinus friderici","Speciesmpack",NA
"1008","Leptomelanosoma indicum","Speciesmpack",NA
"1009","Leptoscarus vaigiensis","Speciesmpack",NA
"1010","Lepturacanthus savala","Speciesmpack",NA
"1011","Lessonia nigrescens",NA,"FBmpack"
"1012","Lestidiops ringens","Speciesmpack",NA
"1013","Lestrolepis japonica","Speciesmpack",NA
"1014","Lesueurigobius friesii","Speciesmpack",NA
"1015","Lethenteron appendix","Speciesmpack",NA
"1016","Lethrinidae",NA,"FBmpack"
"1017","Lethrinops parvidens","Speciesmpack",NA
"1018","Lethrinus atkinsoni","Speciesmpack",NA
"1019","Lethrinus enigmaticus","Speciesmpack",NA
"1020","Lethrinus erythracanthus","Speciesmpack",NA
"1021","Lethrinus genivittatus","Speciesmpack",NA
"1022","Lethrinus harak","Speciesmpack",NA
"1023","Lethrinus lentjan","Speciesmpack",NA
"1024","Lethrinus mahsena","Speciesmpack",NA
"1025","Lethrinus microdon","Speciesmpack",NA
"1026","Lethrinus miniatus","Speciesmpack",NA
"1027","Lethrinus nebulosus","Speciesmpack","FBmpack"
"1028","Lethrinus obsoletus","Speciesmpack",NA
"1029","Lethrinus olivaceus","Speciesmpack",NA
"1030","Lethrinus ornatus","Speciesmpack",NA
"1031","Lethrinus rubrioperculatus","Speciesmpack",NA
"1032","Lethrinus semicinctus","Speciesmpack",NA
"1033","Lethrinus variegatus","Speciesmpack",NA
"1034","Lethrinus xanthochilus","Speciesmpack",NA
"1035","Leucaspius delineatus","Speciesmpack",NA
"1036","Leuciscus aspius","Speciesmpack",NA
"1037","Leuciscus idus","Speciesmpack","FBmpack"
"1038","Leuciscus leuciscus","Speciesmpack",NA
"1039","Leuciscus waleckii","Speciesmpack",NA
"1040","Leucoraja erinacea","Speciesmpack",NA
"1041","Leucoraja naevus","Speciesmpack",NA
"1042","Leucoraja ocellata","Speciesmpack",NA
"1043","Leuresthes tenuis","Speciesmpack",NA
"1044","Lichia amia",NA,"FBmpack"
"1045","Lile stolifera","Speciesmpack",NA
"1046","Limanda aspera","Speciesmpack","FBmpack"
"1047","Limanda ferruginea","Speciesmpack","FBmpack"
"1048","Limanda limanda","Speciesmpack","FBmpack"
"1049","Limanda sakhalinensis","Speciesmpack",NA
"1050","Limnothrissa miodon","Speciesmpack",NA
"1051","Limulus polyphemus",NA,"FBmpack"
"1052","Liparis pulchellus","Speciesmpack",NA
"1053","Lipophrys pholis","Speciesmpack",NA
"1054","Lithodes aequispina",NA,"FBmpack"
"1055","Lithodes santolla",NA,"FBmpack"
"1056","Lithodidae",NA,"FBmpack"
"1057","Lithognathus aureti","Speciesmpack",NA
"1058","Lithognathus lithognathus","Speciesmpack","FBmpack"
"1059","Lithognathus mormyrus","Speciesmpack","FBmpack"
"1060","Lithognathus spp",NA,"FBmpack"
"1061","Littorina littorea",NA,"FBmpack"
"1062","Littorina spp",NA,"FBmpack"
"1063","Liza abu","Speciesmpack",NA
"1064","Liza argentea","Speciesmpack",NA
"1065","Liza aurata","Speciesmpack",NA
"1066","Liza grandisquamis","Speciesmpack",NA
"1067","Liza haematocheila","Speciesmpack",NA
"1068","Liza ramada","Speciesmpack",NA
"1069","Liza saliens","Speciesmpack","FBmpack"
"1070","Lobianchia dofleini","Speciesmpack",NA
"1071","Lobotes surinamensis","Speciesmpack",NA
"1072","Loliginidae, Ommastrephidae",NA,"FBmpack"
"1073","Loligo gahi",NA,"FBmpack"
"1074","Loligo opalescens",NA,"FBmpack"
"1075","Loligo pealeii",NA,"FBmpack"
"1076","Loligo reynaudi",NA,"FBmpack"
"1077","Loligo spp",NA,"FBmpack"
"1078","Lophius americanus","Speciesmpack","FBmpack"
"1079","Lophius budegassa","Speciesmpack",NA
"1080","Lophius gastrophysus",NA,"FBmpack"
"1081","Lophius piscatorius","Speciesmpack","FBmpack"
"1082","Lophius spp",NA,"FBmpack"
"1083","Lophius vomerinus","Speciesmpack","FBmpack"
"1084","Lopholatilus chamaeleonticeps","Speciesmpack","FBmpack"
"1085","Lopholatilus villarii","Speciesmpack",NA
"1086","Lota lota","Speciesmpack","FBmpack"
"1087","Loxechinus albus",NA,"FBmpack"
"1088","Luciopimelodus pati","Speciesmpack",NA
"1089","Lumpenus lampretaeformis","Speciesmpack",NA
"1090","Lutjanidae",NA,"FBmpack"
"1091","Lutjanus adetii","Speciesmpack",NA
"1092","Lutjanus analis","Speciesmpack","FBmpack"
"1093","Lutjanus apodus","Speciesmpack",NA
"1094","Lutjanus argentimaculatus","Speciesmpack","FBmpack"
"1095","Lutjanus argentiventris","Speciesmpack","FBmpack"
"1096","Lutjanus bohar","Speciesmpack",NA
"1097","Lutjanus buccanella","Speciesmpack",NA
"1098","Lutjanus campechanus","Speciesmpack","FBmpack"
"1099","Lutjanus carponotatus","Speciesmpack",NA
"1100","Lutjanus cyanopterus","Speciesmpack",NA
"1101","Lutjanus erythropterus","Speciesmpack",NA
"1102","Lutjanus fulviflamma","Speciesmpack",NA
"1103","Lutjanus gibbus","Speciesmpack",NA
"1104","Lutjanus griseus","Speciesmpack",NA
"1105","Lutjanus jocu","Speciesmpack",NA
"1106","Lutjanus johnii","Speciesmpack","FBmpack"
"1107","Lutjanus kasmira","Speciesmpack",NA
"1108","Lutjanus lutjanus","Speciesmpack",NA
"1109","Lutjanus malabaricus","Speciesmpack","FBmpack"
"1110","Lutjanus monostigma","Speciesmpack",NA
"1111","Lutjanus purpureus","Speciesmpack","FBmpack"
